date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,total_deaths_per_million,median_age,aged_70_older,population,excess_mortality_cumulative,excess_mortality
2021-09-08,19813.93710709449,17.35649543741701,15.533559074615995,174.99227577239338,0.0006395963708672035,0.0016055690545127524,64904.56899111981,573.2247273364575,20.100000000000104,2.4100000000000126,326113.00000000175,24.938878091459614,25.88582514463152
2021-09-09,19831.816114095942,17.879007001462917,16.113455343453943,174.99129797344523,0.001093789068712782,0.0012041767908845644,64963.13574123911,573.2215335437143,20.100000000000104,2.4100000000000126,326113.00000000175,24.906460373932266,24.604628670090623
2021-09-10,19850.09164277948,18.27552868354712,16.676931682121833,174.9931502738786,0.0034059914460077725,0.0009031325931634233,65023.00135295592,573.2275932734943,20.100000000000104,2.4100000000000126,326113.00000000175,24.87706979333131,23.685651436079862
2021-09-11,19868.60415548477,18.512512705291265,17.19360664782282,174.99950071445895,0.007515708839838757,0.0013266707118408947,65083.64321268083,573.2483612447143,20.100000000000104,2.4100000000000126,326113.00000000175,24.852094592666813,23.228596389415635
2021-09-12,19887.16556005252,18.561404567753222,17.633611094464428,175.0118427304146,0.0132159671502411,0.002705410273699683,65144.445173085376,573.2887211597808,20.100000000000104,2.4100000000000126,326113.00000000175,24.832686005909324,23.304070964607703
2021-09-13,19905.59824890173,18.432688849215072,17.966490156659596,175.02885619131473,0.017668924296100383,0.004989303341991002,65204.825434920785,573.344331109009,20.100000000000104,2.4100000000000126,326113.00000000175,24.819649443022847,23.944673871715118
2021-09-14,19923.825092623316,18.226843721591358,18.177756111353805,175.05157103812107,0.023206444353297058,0.008287064772168775,65264.5313375029,573.4185611953644,20.100000000000104,2.4100000000000126,326113.00000000175,24.813443634118677,25.150288855628656
2021-09-15,19941.774023087426,17.948930464108862,18.262355221847635,175.08229495603126,0.03109261607040273,0.012779616614032886,65323.32680322423,573.5189769728008,20.100000000000104,2.4100000000000126,326113.00000000175,24.81441223431561,26.90609490841283
2021-09-16,19959.388403547015,17.61438045958781,18.22445694644393,175.12380912911158,0.041790696700507377,0.018655171413336606,65381.026307492604,573.6547020250118,20.100000000000104,2.4100000000000126,326113.00000000175,24.82273686989133,29.17863972411141
2021-09-17,19976.63480621556,17.2464026685435,18.077295844933165,175.17876505627154,0.055163319875089774,0.026060544687992175,65437.52035618515,573.8344398994966,20.100000000000104,2.4100000000000126,326113.00000000175,24.838417159759928,31.915826731859124
2021-09-18,19993.50884545032,16.874039234762527,17.843053008457495,175.2492321632446,0.07062265150942026,0.035064639285224984,65492.79459373883,574.0649905581074,20.100000000000104,2.4100000000000126,326113.00000000175,24.861270968444046,35.049837312723014
2021-09-19,20010.039552639806,16.530707189484975,17.552767131908755,175.33635851157396,0.0872430067316129,0.0456310586494392,65546.94413421824,574.3501377149614,20.100000000000104,2.4100000000000126,326113.00000000175,24.89094983266791,38.502254404341016
2021-09-20,20026.277531318927,16.237978679120864,17.239057734193388,175.43885582615002,0.10258480837773379,0.05777403736135231,65600.13474659137,574.6856798860925,20.100000000000104,2.4100000000000126,326113.00000000175,24.926965768166127,42.18379397529388
2021-09-21,20042.22013943945,15.942608120523603,16.912574166837693,175.5579072219075,0.11911701610876924,0.07152154288849985,65652.35778214788,575.0755031272398,20.100000000000104,2.4100000000000126,326113.00000000175,24.96889587936131,45.993311429388115
2021-09-22,20057.8828486003,15.662709160851676,16.5858323704418,175.6948040428045,0.1369460361604395,0.08673375574426777,65703.66393599691,575.5238471256505,20.100000000000104,2.4100000000000126,326113.00000000175,25.016223068446124,49.81346576107063
2021-09-23,20073.297301285416,15.414452685118416,16.271453786557938,175.85043399525813,0.1556668639011961,0.10314340019540207,65754.15687911477,576.0336266176712,20.100000000000104,2.4100000000000126,326113.00000000175,25.068261354340443,53.54551262073842
2021-09-24,20088.509853792144,15.212552506728294,15.980844541599145,176.0248972482215,0.17449093654903897,0.12038599229264099,65803.98848238078,576.605172451942,20.100000000000104,2.4100000000000126,326113.00000000175,25.1241356454534,57.102123672775264
2021-09-25,20103.580483427522,15.070629635379142,15.723204834770808,176.21721850824136,0.19234202270912926,0.13802252589368913,65853.35523460404,577.2352873867918,20.100000000000104,2.4100000000000126,326113.00000000175,25.182802352799108,60.413608626314854
2021-09-26,20118.581968905513,15.001485477988805,15.504785979019303,176.4251310757514,0.2079281395269992,0.15555648718044812,65902.49555604362,577.9165379382847,20.100000000000104,2.4100000000000126,326113.00000000175,25.243100633377644,63.4332237843544
2021-09-27,20133.662300854987,15.080331949474171,15.33950124897038,176.6474358956955,0.22231649895682057,0.17300123739567902,65951.89425413687,578.6449921738177,20.100000000000104,2.4100000000000126,326113.00000000175,25.303826606254987,66.14234395101869
2021-09-28,20148.843687502937,15.181386647949218,15.230903247652176,176.88357304329742,0.23614590686144257,0.19010500044494966,66001.62408507592,579.4188142661108,20.100000000000104,2.4100000000000126,326113.00000000175,25.36368794342523,68.55623438075419
2021-09-29,20164.09543531049,15.25174780755211,15.172394953515493,177.13110253619016,0.2475360623374204,0.2063218014002931,66051.58449641854,580.2300016174895,20.100000000000104,2.4100000000000126,326113.00000000175,25.42134103375328,70.70175075786236
2021-09-30,20179.353315332282,15.257880021792094,15.150274560320868,177.38633595191664,0.25523834280994995,0.22097874600820339,66101.565070601,581.0664566106616,20.100000000000104,2.4100000000000126,326113.00000000175,25.47553285537779,72.61122118548987
2021-10-01,20194.534087985987,15.180772653706729,15.14601910705386,177.64481014105473,0.25847788445070785,0.23340148032063257,66151.2931075727,581.913540421798,20.100000000000104,2.4100000000000126,326113.00000000175,25.52521153552174,74.31825677931975
2021-10-02,20209.546396629466,15.012308643479809,15.137997200361522,177.90164251206153,0.25683514249123096,0.2430082854182382,66200.46931177205,582.755238380344,20.100000000000104,2.4100000000000126,326113.00000000175,25.56961342585872,75.85386958605979
2021-10-03,20224.298937743624,14.7525411141548,15.102753556379758,178.15179749490613,0.2501570614579517,0.2493806484528193,66248.79455735855,583.5750339888788,20.100000000000104,2.4100000000000126,326113.00000000175,25.608332564545982,77.24282099552889
2021-10-04,20238.769613779627,14.470676036003965,15.01598501214586,178.3915468929963,0.23975095705015442,0.25213972034090765,66296.1964075148,584.3606988917892,20.100000000000104,2.4100000000000126,326113.00000000175,25.641376928257618,78.50014302294191
2021-10-05,20252.908496695447,14.138882915820059,14.867379677015037,178.61846624602413,0.22692052224786172,0.2510075051878078,66342.51129513199,585.104280956173,20.100000000000104,2.4100000000000126,326113.00000000175,25.669189566633733,79.62681865560806
2021-10-06,20266.645819839003,13.737323143555429,14.65134245006899,178.83033320100185,0.2118678318927485,0.24600659850947282,66387.5106803019,585.7984909369109,20.100000000000104,2.4100000000000126,326113.00000000175,25.692382801995375,80.62102674911682
2021-10-07,20279.913097910954,13.267278071952301,14.367249242205931,179.02556179473999,0.19522925142440967,0.23743352031067633,66430.97023146116,586.4381269292516,20.100000000000104,2.4100000000000126,326113.00000000175,25.711687369295994,81.47973557111837
2021-10-08,20292.6589669368,12.745869025845302,14.019637642708119,179.20352816570616,0.17796686423088015,0.225838714893641,66472.7217112495,587.0211427082517,20.100000000000104,2.4100000000000126,326113.00000000175,25.727893493543277,82.1999122725766
2021-10-09,20304.86106424594,12.202097309138354,13.6183499191675,179.36481483791917,0.16128704216152484,0.21201155071451022,66512.69189090328,587.549448983355,20.100000000000104,2.4100000000000126,326113.00000000175,25.741785920323714,82.77944430462648
2021-10-10,20316.534938455974,11.673874210037361,13.17864026742994,179.5113939338695,0.14657937341170615,0.19696907027570187,66550.93173605086,588.029514339327,20.100000000000104,2.4100000000000126,326113.00000000175,25.754074411154264,83.2161728258474
