date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters,total_boosters_per_hundred,reproduction_rate,icu_patients,hosp_patients,weekly_hosp_admissions,total_tests,new_tests,new_tests_smoothed,positive_rate,tests_per_case,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,female_smokers,hospital_beds_per_thousand,population,excess_mortality_cumulative,excess_mortality
2021-05-22,678144.2114975799,1134.6874840011997,1228.5700966757038,10261.04852330195,4.649888914452501,4.943623702094029,145.03829994800202,0.010000000000000054,0.8706762249794738,175.52566143365237,686.865099283501,252.31001537710443,7003398.475430207,25687.5310944905,26066.451500489733,0.04752878751931977,21.564493795756967,29.81841028185958,74690.15371219174,72195.09879374834,0.4858474754635201,50.94778823727185,43.10000000000022,22.600000000000122,4.530000000000024,8740471.000000045,8.502305637368913,3.663942105797398
2021-05-23,679247.5218584801,1103.310360900061,1198.2108428687702,10265.636958087336,4.588434785386894,4.841514156661026,146.26823691963133,0.010000000000000054,0.8673575242614328,171.7538452995446,670.901232348858,245.606137906455,7028933.214071049,25534.738640842057,25958.54872556126,0.04648013944362693,22.08249607403172,30.30555948902886,75624.79998033008,73032.33699123896,0.48607484383099564,50.93044751279559,43.10000000000022,22.600000000000122,4.530000000000024,8740471.000000045,8.487508639791402,3.639923185221172
2021-05-24,680328.2966459618,1080.7747874817699,1168.555070904003,10270.206677841536,4.569719754198547,4.757550614263714,147.48231860762934,0.010000000000000054,0.8635952278761017,167.9297504904958,655.2325338285481,238.97286458045565,7054321.255204234,25388.041133184906,25830.911899697807,0.04547807484774934,22.613704634709343,30.794356914767807,76612.48280683784,73891.65839953792,0.48666990145760425,50.89637183369179,43.10000000000022,22.600000000000122,4.530000000000024,8740471.000000045,8.472352068078859,3.621077158208217
2021-05-25,681385.795593716,1057.498947754186,1139.4897613228002,10274.76111697845,4.554439136915885,4.689594117776007,148.6819716641902,0.010000000000000054,0.8592133892328693,164.1107744063336,639.7723318516962,232.29588954717138,7079563.713575131,25242.45837089712,25689.813934469577,0.04450771579967761,23.16882889620011,31.28501009073007,77592.75269982792,74777.44562576861,0.4876226588016719,50.84224235296769,43.10000000000022,22.600000000000122,4.530000000000024,8740471.000000045,8.456956127889889,3.6067845939616747
2021-05-26,682416.7144716292,1030.9188779132492,1110.7879614251979,10279.28644859358,4.525331615130359,4.633697204363039,149.86577739067678,0.010000000000000054,0.8540892597656357,160.3320142242721,624.455412431113,225.48599279063095,7104649.220249232,25085.506674100474,25539.892803793395,0.04354497560218232,23.764170153080954,31.777578835015923,78522.774835149,75684.83428396781,0.48889265667397597,50.76579456369158,43.10000000000022,22.600000000000122,4.530000000000024,8740471.000000045,8.441462594116707,3.5959800982862333
2021-05-27,683416.8900715639,1000.1755999346149,1082.1607721354803,10283.759293458776,4.472844865193929,4.584833989245136,151.03989542180548,0.010000000000000054,0.8481999441778154,156.63032934952295,609.1603214435683,218.44767170997414,7129552.097814601,24902.877565368537,25383.49104757682,0.04255886098411901,24.416511583782956,32.272066640806266,79402.26239656226,76605.72422622742,0.49042724945441607,50.66600397060327,43.10000000000022,22.600000000000122,4.530000000000024,8740471.000000045,8.42601221938937,3.5879905720678673
2021-05-28,684382.5789466926,965.6888751287257,1053.2963381513853,10288.152501768305,4.393208309528937,4.5374477285208,152.2078142618941,0.010000000000000054,0.841478982050622,153.0388103605587,593.7829592468657,211.1207085336121,7154218.766395867,24666.668581266254,25215.40055782227,0.0415379240186323,25.13532324827682,32.76837965093442,80225.18365908955,77524.29344439595,0.49212328130542166,50.543225343821945,43.10000000000022,22.600000000000122,4.530000000000024,8740471.000000045,8.410727097869216,3.582158168223498
2021-05-29,685311.4164659998,928.8375193071142,1023.8890905560095,10292.439489448414,4.286987680110509,4.4858614912839485,153.36630025686037,0.010000000000000054,0.8339135351805016,149.59856478399388,578.2810785172444,203.5208319819805,7178621.576816949,24402.810421082242,25031.857157216124,0.04047438677609451,25.92178816988574,33.267009043307525,81082.3343183315,78437.46273035591,0.49399178224603524,50.39929715912703,43.10000000000022,22.600000000000122,4.530000000000024,8740471.000000045,8.395696745509229,3.5778910582173715
2021-05-30,686203.136105157,891.7196391571306,993.661678776737,10296.597490389493,4.158000941078362,4.424586163711837,154.50908201229643,0.010000000000000054,0.8255151449212532,146.3225176410014,562.6171760501835,195.7080771215858,7202746.969296626,24125.39247967726,24830.51217948291,0.03936483985582659,26.780533111900446,33.768626853586056,81980.4525487035,79345.414129215,0.49607657747315026,50.23761992816887,43.10000000000022,22.600000000000122,4.530000000000024,8740471.000000045,8.380966967664577,3.574726232223073
2021-05-31,687063.6925281254,860.5564229683662,962.2016968653593,10300.615037636995,4.017547247502377,4.3458413680973935,155.64115216856322,0.010000000000000054,0.8163550076890018,143.18548874788118,546.7453319406765,187.75565383343263,7226589.09313279,23842.123836163923,24609.65750242088,0.03821076628488874,27.715584061462547,34.27411477496658,82931.92447940104,80248.19246504323,0.49844414932981496,50.06321494612672,43.10000000000022,22.600000000000122,4.530000000000024,8740471.000000045,8.3665308172158,3.572365610234044
2021-06-01,687891.4181840718,827.7256559463792,929.3766787576179,10304.478343515413,3.863305878419289,4.247154943332262,156.7746585672759,0.010000000000000054,0.8065393650104499,140.14837641870034,530.6237533187918,179.77549926324534,7250156.8717726795,23567.778639889617,24370.409739614657,0.037018934442173385,28.720448550298634,34.78418805278284,83920.74159807709,81152.19229642313,0.5011655295797796,49.879264150771576,43.10000000000022,22.600000000000122,4.530000000000024,8740471.000000045,8.352313917695314,3.570716861660209
2021-06-02,688683.4665792312,792.0483951595268,895.2520260365404,10308.178117688287,3.6997741728739406,4.129175192631717,157.92829515364073,0.010000000000000054,0.7961642199440053,137.19016078849216,514.3084904900642,171.89015709126096,7273469.884259384,23313.012486704574,24117.19064343113,0.035789087709458135,29.786058778593443,35.29962827294206,84941.05164135044,82069.0911518585,0.5043427961828961,49.68756996181824,43.10000000000022,22.600000000000122,4.530000000000024,8740471.000000045,8.338221886697022,3.5696717460389253
2021-06-03,689437.1871677793,753.7205885480557,860.0438487129268,10311.712159694802,3.5340420065138956,3.99493763235356,159.118328669691,0.010000000000000054,0.7853259768519933,134.28754625394203,497.80627090568703,164.2196701778512,7296558.422389765,23088.53813038076,23857.995196535892,0.03451570072068447,30.91386050282037,35.82123073928966,85974.94622939693,83008.04813118553,0.5080980796840378,49.49195510549433,43.10000000000022,22.600000000000122,4.530000000000024,8740471.000000045,8.324153879239235,3.5691818961484625
2021-06-04,690151.1565199854,713.9693522061299,824.0835958107142,10315.08730335224,3.3751436574387546,3.8493150536122984,160.35658748481535,0.010000000000000054,0.7741371781787504,131.39618651657176,481.1613289064798,156.84288773358253,7319444.597028275,22886.17463850958,23603.635456871893,0.03321289060192257,32.10683364473007,36.34949997754422,86976.82937146605,83972.56977647588,0.5125097265374311,49.29730828128629,43.10000000000022,22.600000000000122,4.530000000000024,8740471.000000045,8.310014130456311,3.569245619636516
2021-06-05,690825.9516983288,674.7951783433507,787.7915283060004,10318.320875057827,3.2335717055871496,3.6986050684897718,161.65121566209268,0.010000000000000054,0.7627098648881039,128.49452191716395,464.4434271905262,149.7946738803422,7342123.200179103,22678.60315082792,23357.317672162677,0.031884781073613915,33.37496686250688,36.884496185485304,87883.01498270438,84944.094882454,0.5175175567001005,49.10886841199904,43.10000000000022,22.600000000000122,4.530000000000024,8740471.000000045,8.295721997786838,3.5698903048557513
2021-06-06,691464.7302895847,638.7785912558977,751.6568238313112,10321.441787515105,3.1209124572769853,3.5502207696931247,163.00845053131442,0.010000000000000054,0.7512003042898668,125.5617447022558,447.7302433082152,143.0759989461327,7364571.962610097,22448.76243099427,23117.797336216412,0.030552726076703684,34.73214143647297,37.425757562514164,88649.47153114606,85896.81001122652,0.5229862606084633,48.93168783130058,43.10000000000022,22.600000000000122,4.530000000000024,8740471.000000045,8.281220877784225,3.571157532255572
