date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,people_vaccinated_per_hundred,total_boosters_per_hundred,total_vaccinations_per_hundred,reproduction_rate,new_tests,positive_rate,tests_per_case,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,male_smokers,hospital_beds_per_thousand,population
2020-05-05,19931.82373821685,1285.5605856237557,1163.7806359841986,151.0858875563929,6.450903742845411,43.650000000000226,0.7100000000000039,0.380000000000002,1.342792031547241,11885.956950817115,0.12211563949334642,8.29644968287242,117876.00000000064,13492.00000000007,0.23000000000000126,91.91310234177217,31.90000000000017,25.40000000000013,2.700000000000015,36408824.00000019
2020-05-06,21254.111258737008,1322.2875206657827,1207.1449454755457,157.69597675326776,6.610123508491534,43.650000000000226,0.7100000000000039,0.380000000000002,1.3272881089868709,12315.263107424427,0.12229422800397896,8.25657934360229,117876.00000000064,13492.00000000007,0.23000000000000126,91.72575468134542,31.90000000000017,25.40000000000013,2.700000000000015,36408824.00000019
2020-05-07,22619.1861266643,1365.0748680365077,1249.2769993458337,164.49528573237188,6.799334712816624,43.650000000000226,0.7100000000000039,0.380000000000002,1.3133164372669812,12791.383594304603,0.12225848612903481,8.241324294385633,117876.00000000064,13492.00000000007,0.23000000000000126,91.52291620493293,31.90000000000017,25.40000000000013,2.700000000000015,36408824.00000019
2020-05-08,24032.763334494062,1413.577207911675,1290.8128424311612,171.50856837167737,7.013301939589855,43.650000000000226,0.7100000000000039,0.380000000000002,1.300733287872668,13304.4113221021,0.12206361249593595,8.244698779935971,117876.00000000064,13492.00000000007,0.23000000000000126,91.3120407412887,31.90000000000017,25.40000000000013,2.700000000000015,36408824.00000019
2020-05-09,25498.784265576473,1466.0209311438425,1332.4804900974518,178.74986519278545,7.241311296321362,43.650000000000226,0.7100000000000039,0.380000000000002,1.2893743033317815,13839.198423703294,0.12174599637906267,8.261051557479462,117876.00000000064,13492.00000000007,0.23000000000000126,91.10011846805456,31.90000000000017,25.40000000000013,2.700000000000015,36408824.00000019
2020-05-10,27018.345552123574,1519.5612865931782,1375.0584433649462,186.21839436970248,7.468540033327005,43.650000000000226,0.7100000000000039,0.380000000000002,1.279025556199549,14378.464073110394,0.12134941325068371,8.285935726933138,117876.00000000064,13492.00000000007,0.23000000000000126,90.89349124276697,31.90000000000017,25.40000000000013,2.700000000000015,36408824.00000019
2020-05-11,28580.742777538104,1562.3972254490877,1419.2098777725805,193.8778229265984,7.659436699203409,43.650000000000226,0.7100000000000039,0.380000000000002,1.2694692317909047,14912.179325033205,0.12094305541312607,8.313852247688551,117876.00000000064,13492.00000000007,0.23000000000000126,90.70201242043993,31.90000000000017,25.40000000000013,2.700000000000015,36408824.00000019
2020-05-12,30188.88292348976,1608.1401459775745,1465.2924004108856,201.73769815810363,7.859881338235794,43.650000000000226,0.7100000000000039,0.380000000000002,1.2604886400681317,15431.833621118172,0.12062293474019378,8.339430879366942,117876.00000000064,13492.00000000007,0.23000000000000126,90.53071891455437,31.90000000000017,25.40000000000013,2.700000000000015,36408824.00000019
2020-05-13,31849.308540387246,1660.4256169169262,1513.5975819823748,209.81204866705897,8.074355089003296,43.650000000000226,0.7100000000000039,0.380000000000002,1.251842724394992,15924.455080092046,0.12045249517279255,8.35773896430867,117876.00000000064,13492.00000000007,0.23000000000000126,90.38347809994305,31.90000000000017,25.40000000000013,2.700000000000015,36408824.00000019
2020-05-14,33569.31923657685,1720.010696204181,1564.3024545863311,218.11228472266043,8.300239490637424,43.650000000000226,0.7100000000000039,0.380000000000002,1.2432765164701305,16373.156290676687,0.1204911166931046,8.363519155358212,117876.00000000064,13492.00000000007,0.23000000000000126,90.26223139331552,31.90000000000017,25.40000000000013,2.700000000000015,36408824.00000019
2020-05-15,35354.812795241356,1785.4935586754395,1617.433135057398,226.64187352906742,8.529591382683963,43.650000000000226,0.7100000000000039,0.380000000000002,1.2345448146312032,16766.14606416139,0.12076717397748861,8.353222753719704,117876.00000000064,13492.00000000007,0.23000000000000126,90.16642693865192,31.90000000000017,25.40000000000013,2.700000000000015,36408824.00000019
2020-05-16,37208.66601207426,1853.8532168411007,1672.8375424695218,235.39234567685912,8.75047407999941,43.650000000000226,0.7100000000000039,0.380000000000002,1.2254205696030098,17092.59275755869,0.12129516070289685,8.324873432452039,117876.00000000064,13492.00000000007,0.23000000000000126,90.09944302234719,31.90000000000017,25.40000000000013,2.700000000000015,36408824.00000019
2020-05-17,39129.5203235354,1920.8543114672862,1730.1649362639087,244.34029998162663,8.947955753923294,43.650000000000226,0.7100000000000039,0.380000000000002,1.2157396353470553,17369.54309758081,0.12205281849097371,8.279495410473494,117876.00000000064,13492.00000000007,0.23000000000000126,90.06351277742633,31.90000000000017,25.40000000000013,2.700000000000015,36408824.00000019
2020-05-18,41112.95968350488,1983.439359974094,1790.3136496769257,253.3972579532533,9.05695905849355,43.650000000000226,0.7100000000000039,0.380000000000002,1.2053860128709912,17606.99974400011,0.1230013139328717,8.220219489335417,117876.00000000064,13492.00000000007,0.23000000000000126,90.07167401422694,31.90000000000017,25.40000000000013,2.700000000000015,36408824.00000019
2020-05-19,43160.618970773525,2047.6592872721055,1853.101955745092,262.56463706545753,9.16737992735434,43.650000000000226,0.7100000000000039,0.380000000000002,1.194290156065656,17790.131563009803,0.12408938234687437,8.150714067551025,117876.00000000064,13492.00000000007,0.23000000000000126,90.12198159341114,31.90000000000017,25.40000000000013,2.700000000000015,36408824.00000019
2020-05-20,45270.6837012541,2110.064730483171,1917.3359970286022,271.8738818068505,9.309245352755587,43.650000000000226,0.7100000000000039,0.380000000000002,1.182458567275488,17914.43252810741,0.12524544658562461,8.07596864697873,117876.00000000064,13492.00000000007,0.23000000000000126,90.20222439803197,31.90000000000017,25.40000000000013,2.700000000000015,36408824.00000019
