date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,reproduction_rate,icu_patients,new_tests,new_tests_smoothed,positive_rate,tests_per_case,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,male_smokers,median_age,extreme_poverty,population,excess_mortality_cumulative,excess_mortality
2022-06-27,1168635.116605022,250.64139453586978,211.46754786122057,37227.10927401835,3.3326768140347562,3.744553925752376,11.26220931397845,1.3532348361553066,30.143153480316023,4881.000000000578,3106.040560355907,0.07193927105433015,14.623457000889431,30.846703989421787,510.8776798713417,386.16787572149246,3.045025202363752e-17,11.110000303079463,44.400000000000226,44.70000000000024,1.500000000000008,6781955.000000035,24.813994084372805,1.4858743594146024
2022-06-28,1168899.4608215769,264.34421655477934,223.66453468389253,37230.301525649564,3.1922516312112683,3.6128236537519074,11.267814548509063,1.3716095466381368,30.031494762097804,4881.00000000044,3105.262401520975,0.07361056188803279,14.24271072093212,30.847952419529676,560.7701592786419,417.7523773793554,2.283768901772814e-17,11.110000227309614,44.400000000000226,44.70000000000024,1.500000000000008,6781955.000000035,24.784856007457307,1.4858343409895256
2022-06-29,1169180.6746885825,281.2138670056131,237.26956003037293,37233.339250248864,3.0377245992972717,3.4723974752848465,11.273584408472956,1.3877701851886886,29.89811086749176,4881.0000000003365,3104.9109414122286,0.07506845793832594,13.923771890085016,30.8492233413349,621.5643841648648,454.97082796017986,1.7128266763296105e-17,11.110000170482227,44.400000000000226,44.70000000000024,1.500000000000008,6781955.000000035,24.75600875229169,1.4864363799918463
2022-06-30,1169482.4634017004,301.78871311781734,252.4238388980225,37236.20928577978,2.8700355309209207,3.324569276470103,11.279448487350209,1.401736979550859,29.755481294491794,4881.000000000259,3104.7307496920134,0.07629342490170836,13.664873196813943,30.850515414395346,695.3298815302433,497.9587285978022,1.2846200072472078e-17,11.110000127861687,44.400000000000226,44.70000000000024,1.500000000000008,6781955.000000035,24.727455012829015,1.487641510684163
2022-07-01,1169808.151672156,325.6882704556874,269.2253639828257,37238.90402315842,2.694737378636718,3.1711239515348693,11.28531939718688,1.4135428768738767,29.618233927743944,4881.000000000202,3104.6260196057956,0.07727970022120705,13.460149726311187,30.851828614541127,783.5833732248225,546.9396993248878,9.634650054354058e-18,11.11000009589628,44.400000000000226,44.70000000000024,1.500000000000008,6781955.000000035,24.699198818029775,1.488977531572548
2022-07-02,1170159.9945879907,351.8429158346556,287.6928916037972,37241.42486610837,2.5208429499439275,3.0142598996563263,11.291117699150679,1.4232344039385383,29.502203934126403,4881.000000000158,3104.5437390094576,0.07803669824282847,13.304939379413433,30.853164712822043,888.0975169903703,602.0365133430528,7.225987540765543e-18,11.110000071922226,44.400000000000226,44.70000000000024,1.500000000000008,6781955.000000035,24.67124600612556,1.4897169191106625
2022-07-03,1170538.6607599992,378.6661720085069,307.7389311462873,37243.78482605192,2.3599599435503853,2.8565308975929264,11.29674551418203,1.4308889574464718,29.423243125126195,4881.0000000001255,3104.460406067052,0.07859006408289716,13.192180617300881,30.854528535078302,1012.0601448533162,663.8708077610077,5.4194906555741576e-18,11.110000053941684,44.400000000000226,44.70000000000024,1.500000000000008,6781955.000000035,24.643604349455227,1.4890123407320202
2022-07-04,1170938.5930005116,399.93224051252173,329.0659283209313,37245.99282121967,2.207995167746825,2.695949562981382,11.302093072288123,1.4365960975289411,29.395842169313337,4881.000000000101,3104.3732457267643,0.07898246402855955,13.113148068017697,30.85592372377622,1152.9929162245617,732.907582226704,4.0646179916806186e-18,11.11000004045628,44.400000000000226,44.70000000000024,1.500000000000008,6781955.000000035,24.616283417230434,1.4860003673783644
2022-07-05,1171361.3818544578,422.7888539461244,351.7006306298393,37248.049868015645,2.057046795978188,2.5339385781830335,11.307056229555474,1.440497493314775,29.434853738906735,4881.000000000082,3104.288757824489,0.07924945306343659,13.05797029471077,30.857351244674483,1302.7349101807056,808.757755189745,3.048463493760464e-18,11.110000030342226,44.400000000000226,44.70000000000024,1.500000000000008,6781955.000000035,24.589288839587372,1.4784659695036708
2022-07-06,1171810.513055357,449.13120089915446,375.6886004772282,37249.9723234423,1.9224554266539726,2.3748463059708267,11.31154960590935,1.4427873087385072,29.554949520174183,4881.000000000068,3104.2165683683716,0.07943708979757755,13.018477721033097,30.858813588183164,1454.829689422862,890.9940112856523,2.286347620320348e-18,11.110000022756685,44.400000000000226,44.70000000000024,1.500000000000008,6781955.000000035,24.562627678725562,1.464437804766503
