date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,total_deaths_per_million,reproduction_rate,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,aged_65_older,median_age,cardiovasc_death_rate,male_smokers,population
2020-10-29,448.103634125095,2.6776078449648777,2.4139549636755615,7.000000000000038,6.294096064914825e-16,1.6524005614355625e-15,537.1700182687415,8.390000000000043,0.6541338496423483,1442.000000000008,0.1700000000000009,2.9600000000000164,20.400000000000105,261.5200000000013,23.60000000000013,836783.0000000044
2020-10-30,450.84256075865704,2.738926633562059,2.504344535620282,7.000000000000038,4.720572048686119e-16,1.2393004210766718e-15,540.4533789245693,8.390000000000043,0.6570538455381616,1442.000000000008,0.1700000000000009,2.9600000000000164,20.400000000000105,261.5200000000013,23.60000000000013,836783.0000000044
2020-10-31,453.6257796510878,2.7832188924307597,2.583789591114052,7.000000000000038,3.5404290365145895e-16,9.29475315807504e-16,543.7898205541259,8.390000000000043,0.660319795918328,1442.000000000008,0.1700000000000009,2.9600000000000164,20.400000000000105,261.5200000000013,23.60000000000013,836783.0000000044
2020-11-01,456.43268315460614,2.8069035035182903,2.6510390259147285,7.000000000000038,2.6553217773859423e-16,6.97106486855628e-16,547.1546335151427,8.390000000000043,0.6638911074429485,1442.000000000008,0.1700000000000009,2.9600000000000164,20.400000000000105,261.5200000000013,23.60000000000013,836783.0000000044
2020-11-02,459.2442117841841,2.8115286295779587,2.7059491142970717,7.000000000000038,1.9914913330394568e-16,5.22829865141721e-16,550.5249589760475,8.390000000000043,0.6677160034975324,1442.000000000008,0.1700000000000009,2.9600000000000164,20.400000000000105,261.5200000000013,23.60000000000013,836783.0000000044
2020-11-03,462.0521956836461,2.8079838994620765,2.747497711611625,7.000000000000038,1.4936184997795926e-16,3.9212239885629074e-16,553.8910004214353,8.390000000000043,0.6717327039806162,1442.000000000008,0.1700000000000009,2.9600000000000164,20.400000000000105,261.5200000000013,23.60000000000013,836783.0000000044
2020-11-04,464.84767940656207,2.795483722915889,2.7751767743357423,7.000000000000038,1.1202138748346946e-16,2.940917991422181e-16,557.2420256877643,8.390000000000043,0.6758719261755083,1442.000000000008,0.1700000000000009,2.9600000000000164,20.400000000000105,261.5200000000013,23.60000000000013,836783.0000000044
2020-11-05,467.6222495355298,2.7745701289677864,2.789141792128669,7.000000000000038,8.40160406126021e-17,2.2056884935666356e-16,560.5679567254233,8.390000000000043,0.6800603764351227,1442.000000000008,0.1700000000000009,2.9600000000000164,20.400000000000105,261.5200000000013,23.60000000000013,836783.0000000044
2020-11-06,470.3690303966383,2.74678086110852,2.7903238618728468,7.000000000000038,6.301203045945156e-17,1.6542663701749766e-16,563.8605619202804,8.390000000000043,0.6842123799346171,1442.000000000008,0.1700000000000009,2.9600000000000164,20.400000000000105,261.5200000000013,23.60000000000013,836783.0000000044
2020-11-07,473.08343084531396,2.714400448675608,2.7805137432048976,7.000000000000038,4.7259022844588674e-17,1.2406997776312324e-16,567.1143503348458,8.390000000000043,0.6882609333026122,1442.000000000008,0.1700000000000009,2.9600000000000164,20.400000000000105,261.5200000000013,23.60000000000013,836783.0000000044
2020-11-08,475.76370435570556,2.680273510391648,2.762424900163858,7.000000000000038,3.5444267133441505e-17,9.305248332234243e-17,570.3272423891442,8.390000000000043,0.6921578848509097,1442.000000000008,0.1700000000000009,2.9600000000000164,20.400000000000105,261.5200000000013,23.60000000000013,836783.0000000044
2020-11-09,478.4126295919253,2.6489252362197253,2.739198765620635,7.000000000000038,2.658320035008113e-17,6.978936249175682e-17,573.5025854764096,8.390000000000043,0.6958756857778083,1442.000000000008,0.1700000000000009,2.9600000000000164,20.400000000000105,261.5200000000013,23.60000000000013,836783.0000000044
2020-11-10,481.02778182548957,2.6151522335642805,2.7116628104792158,7.000000000000038,1.9937400262560846e-17,5.234202186881762e-17,576.6374788616713,8.390000000000043,0.6993729892848763,1442.000000000008,0.1700000000000009,2.9600000000000164,20.400000000000105,261.5200000000013,23.60000000000013,836783.0000000044
