date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,total_deaths_per_million,new_vaccinations_smoothed,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,population
2022-03-31,7893.810889243185,33.30544157312239,28.235782450806546,30.98475598452714,0.0012306988622853906,6.592715636694875e-06,275487.2198140584,1081.337983885754,196.00000000000102,7245.000000000039,92.0000000000005,0.3400000000000018,27052.00000000014
2022-04-01,7929.260720261424,35.44983101823875,30.17224165387742,30.98792057598428,0.0060943234356604144,4.944536727521156e-06,276724.38826390554,1081.448428121169,196.00000000000102,7245.000000000039,92.0000000000005,0.3400000000000018,27052.00000000014
2022-04-02,7967.138752865762,37.878032604338465,32.030886314745544,31.0002164500878,0.014493173087411167,0.0013487310269800332,278046.2988617951,1081.8775541225523,196.00000000000102,7245.000000000039,92.0000000000005,0.3400000000000018,27052.00000000014
2022-04-03,8007.6169605769355,40.478207711172466,33.90509799397776,31.024596726706164,0.026028250856282437,0.004554534695574406,279458.9532934056,1082.7284257729111,196.00000000000102,7245.000000000039,92.0000000000005,0.3400000000000018,27052.00000000014
2022-04-04,8050.698790245253,43.08182966831801,35.95721554461072,31.0634378488435,0.040077102815773674,0.010305041293174052,280962.4717683739,1084.0839809327877,196.00000000000102,7245.000000000039,92.0000000000005,0.3400000000000018,27052.00000000014
2022-04-05,8096.537360298689,45.838570053436385,38.21825134818015,31.11836054565012,0.05584968231545031,0.01878421083413399,282562.1979733397,1086.0007830493014,196.00000000000102,7245.000000000039,92.0000000000005,0.3400000000000018,27052.00000000014
2022-04-06,8145.182625912458,48.64526561376838,40.66758783240215,31.190095554680425,0.07243024816192727,0.029801959030577953,284259.87531969487,1088.504334862931,196.00000000000102,7245.000000000039,92.0000000000005,0.3400000000000018,27052.00000000014
2022-04-07,8196.555618432416,51.37299251995792,43.24863221237537,31.278382913586317,0.0888087882546066,0.042887668367956204,286052.74791090924,1091.5855636876006,196.00000000000102,7245.000000000039,92.0000000000005,0.3400000000000018,27052.00000000014
2022-04-08,8250.429124942617,53.87350651020124,45.88055754648264,31.381896428887263,0.1039045873124807,0.0573603214117139,287932.886268024,1095.198185370744,196.00000000000102,7245.000000000039,92.0000000000005,0.3400000000000018,27052.00000000014
2022-04-09,8306.413197940976,55.98407299835883,48.46710852831714,31.498187027547846,0.11658390266923468,0.07238110078729237,289886.68162377214,1099.2567272633537,196.00000000000102,7245.000000000039,92.0000000000005,0.3400000000000018,27052.00000000014
2022-04-10,8363.944287596016,57.53108965503941,50.90320583062707,31.62364027066093,0.1256732211195733,0.08699283916513009,291894.4666431689,1103.6350454475169,196.00000000000102,7245.000000000039,92.0000000000005,0.3400000000000018,27052.00000000014
2022-04-11,8422.462385057075,58.51809746105987,53.10834894310613,31.75470499291171,0.13122970575564658,0.10033868237966548,293936.6975773997,1108.2092042537065,196.00000000000102,7245.000000000039,92.0000000000005,0.3400000000000018,27052.00000000014
2022-04-12,8481.780418398506,59.3180333414317,55.0339375315055,31.89018840854937,0.13560715326631498,0.11200740544990768,296006.8458078078,1112.937575459189,196.00000000000102,7245.000000000039,92.0000000000005,0.3400000000000018,27052.00000000014
2022-04-13,8541.62476111628,59.84434271777392,56.63374597345145,32.02830711119553,0.13821150586764205,0.12162756443002956,298095.36201487377,1117.7579181813358,196.00000000000102,7245.000000000039,92.0000000000005,0.3400000000000018,27052.00000000014
2022-04-14,8601.67884879456,60.05408767827881,57.873833882157186,32.16699633210387,0.13875882332445505,0.1289286565157997,300191.19836377376,1122.5981719908837,196.00000000000102,7245.000000000039,92.0000000000005,0.3400000000000018,27052.00000000014
