date,total_cases,new_cases,total_deaths,new_deaths,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,population
2021-12-26,0.0,0.0,0.0,0.0,659.5363020432443,0.010156037054956001,382836.00000000204
2021-12-27,0.0,0.0,0.0,0.0,658.4022265324342,0.010117027791217014,382836.00000000204
2021-12-28,0.0,0.0,0.0,0.0,657.5516698993265,0.010087770843412775,382836.00000000204
2021-12-29,0.0,0.0,0.0,0.0,656.9137524244958,0.010065828132559596,382836.00000000204
2021-12-30,0.0,0.0,0.0,0.0,656.4353143183728,0.010049371099419712,382836.00000000204
2021-12-31,0.0,0.0,0.0,0.0,656.0764857387805,0.010037028324564799,382836.00000000204
2022-01-01,0.0,0.0,0.0,0.0,655.8073643040864,0.010027771243423612,382836.00000000204
2022-01-02,0.0,0.0,0.0,0.0,655.6055232280657,0.010020828432567724,382836.00000000204
2022-01-03,0.0,0.0,0.0,0.0,655.4541424210502,0.010015621324425806,382836.00000000204
2022-01-04,0.0,0.0,0.0,0.0,655.3406068157885,0.010011715993319369,382836.00000000204
2022-01-05,0.0,0.0,0.0,0.0,655.2554551118424,0.01000878699498954,382836.00000000204
2022-01-06,0.0,0.0,0.0,0.0,655.1915913338827,0.01000659024624217,382836.00000000204
2022-01-07,0.0,0.0,0.0,0.0,655.143693500413,0.010004942684681642,382836.00000000204
2022-01-08,0.0,0.0,0.0,0.0,655.1077701253106,0.010003707013511247,382836.00000000204
2022-01-09,0.0,0.0,0.0,0.0,655.0808275939838,0.010002780260133449,382836.00000000204
2022-01-10,0.0,0.0,0.0,0.0,655.0606206954888,0.0100020851951001,382836.00000000204
2022-01-11,0.0,0.0,0.0,0.0,655.0454655216174,0.010001563896325089,382836.00000000204
2022-01-12,0.0,0.0,0.0,0.0,655.034099141214,0.01000117292224383,382836.00000000204
2022-01-13,0.0,0.0,0.0,0.0,655.0255743559114,0.010000879691682887,382836.00000000204
2022-01-14,0.0,0.0,0.0,0.0,655.0191807669345,0.01000065976876218,382836.00000000204
2022-01-15,0.0,0.0,0.0,0.0,655.0143855752018,0.010000494826571648,382836.00000000204
2022-01-16,0.0,0.0,0.0,0.0,655.0107891814023,0.01000037111992875,382836.00000000204
2022-01-17,0.0,0.0,0.0,0.0,655.0080918860526,0.010000278339946577,382836.00000000204
2022-01-18,0.0,0.0,0.0,0.0,655.0060689145404,0.010000208754959947,382836.00000000204
2022-01-19,0.0,0.0,0.0,0.0,655.0045516859062,0.010000156566219975,382836.00000000204
2022-01-20,0.0,0.0,0.0,0.0,655.0034137644305,0.010000117424664995,382836.00000000204
2022-01-21,0.0,0.0,0.0,0.0,655.0025603233238,0.010000088068498761,382836.00000000204
2022-01-22,0.0,0.0,0.0,0.0,655.0019202424937,0.010000066051374086,382836.00000000204
2022-01-23,0.0,0.0,0.0,0.0,655.0014401818712,0.010000049538530578,382836.00000000204
2022-01-24,0.0,0.0,0.0,0.0,655.0010801364043,0.010000037153897948,382836.00000000204
2022-01-25,0.0,0.0,0.0,0.0,655.0008101023042,0.010000027865423476,382836.00000000204
2022-01-26,0.0,0.0,0.0,0.0,655.0006075767291,0.01000002089906762,382836.00000000204
2022-01-27,0.0,0.0,0.0,0.0,655.0004556825477,0.010000015674300729,382836.00000000204
2022-01-28,0.0,0.0,0.0,0.0,655.0003417619116,0.010000011755725562,382836.00000000204
2022-01-29,0.0,0.0,0.0,0.0,655.0002563214346,0.010000008816794186,382836.00000000204
2022-01-30,0.0,0.0,0.0,0.0,655.0001922410768,0.010000006612595654,382836.00000000204
2022-01-31,0.0,0.0,0.0,0.0,655.0001441808085,0.010000004959446755,382836.00000000204
2022-02-01,0.0,0.0,0.0,0.0,655.0001081356073,0.01000000371958508,382836.00000000204
2022-02-02,0.0,0.0,0.0,0.0,655.0000811017064,0.010000002789688824,382836.00000000204
2022-02-03,0.0,0.0,0.0,0.0,655.0000608262808,0.010000002092266633,382836.00000000204
2022-02-04,0.0,0.0,0.0,0.0,655.0000456197115,0.010000001569199989,382836.00000000204
2022-02-05,0.0,0.0,0.0,0.0,655.0000342147846,0.010000001176900006,382836.00000000204
2022-02-06,0.0,0.0,0.0,0.0,655.0000256610894,0.010000000882675018,382836.00000000204
2022-02-07,0.0,0.0,0.0,0.0,655.000019245818,0.010000000662006278,382836.00000000204
2022-02-08,0.0,0.0,0.0,0.0,655.0000144343644,0.010000000496504723,382836.00000000204
2022-02-09,0.0,0.0,0.0,0.0,655.0000108257742,0.010000000372378557,382836.00000000204
2022-02-10,0.0,0.0,0.0,0.0,655.0000081193316,0.010000000279283931,382836.00000000204
2022-02-11,0.0,0.0,0.0,0.0,655.0000060894996,0.010000000209462963,382836.00000000204
2022-02-12,0.0,0.0,0.0,0.0,655.0000045671256,0.010000000157097236,382836.00000000204
2022-02-13,0.0,0.0,0.0,0.0,655.0000034253451,0.01000000011782294,382836.00000000204
2022-02-14,0.0,0.0,0.0,0.0,655.0000025690097,0.01000000008836722,382836.00000000204
2022-02-15,0.0,0.0,0.0,0.0,655.0000019267582,0.01000000006627543,382836.00000000204
2022-02-16,0.0,0.0,0.0,0.0,655.0000014450695,0.010000000049706586,382836.00000000204
2022-02-17,0.0,0.0,0.0,0.0,655.000001083803,0.010000000037279954,382836.00000000204
2022-02-18,0.0,0.0,0.0,0.0,655.0000008128532,0.01000000002795998,382836.00000000204
2022-02-19,0.0,0.0,0.0,0.0,655.0000006096408,0.010000000020969999,382836.00000000204
2022-02-20,0.0,0.0,0.0,0.0,655.0000004572315,0.010000000015727513,382836.00000000204
2022-02-21,0.0,0.0,0.0,0.0,655.0000003429245,0.01000000001179565,382836.00000000204
2022-02-22,0.0,0.0,0.0,0.0,655.0000002571943,0.010000000008846752,382836.00000000204
2022-02-23,0.0,0.0,0.0,0.0,655.0000001928967,0.010000000006635078,382836.00000000204
2022-02-24,0.0,0.0,0.0,0.0,655.0000001446734,0.010000000004976323,382836.00000000204
2022-02-25,0.0,0.0,0.0,0.0,655.000000108506,0.010000000003732256,382836.00000000204
2022-02-26,0.0,0.0,0.0,0.0,655.0000000813804,0.010000000002799206,382836.00000000204
2022-02-27,0.0,0.0,0.0,0.0,655.0000000610362,0.010000000002099418,382836.00000000204
2022-02-28,0.0,0.0,0.0,0.0,655.000000045778,0.010000000001574577,382836.00000000204
2022-03-01,0.0,0.0,0.0,0.0,655.0000000343344,0.010000000001180948,382836.00000000204
2022-03-02,0.0,0.0,0.0,0.0,655.0000000257518,0.010000000000885726,382836.00000000204
2022-03-03,0.0,0.0,0.0,0.0,655.0000000193147,0.010000000000664309,382836.00000000204
2022-03-04,0.0,0.0,0.0,0.0,655.0000000144869,0.010000000000498246,382836.00000000204
2022-03-05,0.0,0.0,0.0,0.0,655.0000000108661,0.010000000000373698,382836.00000000204
2022-03-06,0.0,0.0,0.0,0.0,655.0000000081504,0.010000000000280288,382836.00000000204
2022-03-07,0.0,0.0,0.0,0.0,655.0000000061137,0.01000000000021023,382836.00000000204
2022-03-08,0.0,0.0,0.0,0.0,655.0000000045862,0.010000000000157687,382836.00000000204
2022-03-09,0.0,0.0,0.0,0.0,655.0000000034406,0.010000000000118279,382836.00000000204
2022-03-10,0.0,0.0,0.0,0.0,655.0000000025814,0.010000000000088723,382836.00000000204
2022-03-11,0.0,0.0,0.0,0.0,655.000000001937,0.010000000000066556,382836.00000000204
2022-03-12,0.0,0.0,0.0,0.0,655.0000000014536,0.01000000000004993,382836.00000000204
2022-03-13,0.0,0.0,0.0,0.0,655.0000000010912,0.010000000000037462,382836.00000000204
2022-03-14,0.0,0.0,0.0,0.0,655.0000000008192,0.01000000000002811,382836.00000000204
2022-03-15,0.0,0.0,0.0,0.0,655.0000000006153,0.010000000000021096,382836.00000000204
2022-03-16,0.0,0.0,0.0,0.0,655.0000000004624,0.010000000000015836,382836.00000000204
2022-03-17,0.0,0.0,0.0,0.0,655.0000000003477,0.010000000000011892,382836.00000000204
2022-03-18,0.0,0.0,0.0,0.0,655.0000000002617,0.010000000000008932,382836.00000000204
2022-03-19,0.0,0.0,0.0,0.0,655.0000000001971,0.010000000000006714,382836.00000000204
2022-03-20,0.0,0.0,0.0,0.0,655.0000000001487,0.01000000000000505,382836.00000000204
2022-03-21,0.0,0.0,0.0,0.0,655.0000000001124,0.010000000000003801,382836.00000000204
2022-03-22,0.0,0.0,0.0,0.0,655.0000000000853,0.010000000000002864,382836.00000000204
2022-03-23,0.0,0.0,0.0,0.0,655.0000000000648,0.010000000000002162,382836.00000000204
2022-03-24,0.0,0.0,0.0,0.0,655.0000000000496,0.010000000000001636,382836.00000000204
2022-03-25,0.0,0.0,0.0,0.0,655.0000000000381,0.01000000000000124,382836.00000000204
2022-03-26,0.0,0.0,0.0,0.0,655.0000000000294,0.010000000000000944,382836.00000000204
2022-03-27,0.0,0.0,0.0,0.0,655.000000000023,0.010000000000000722,382836.00000000204
2022-03-28,0.0,0.0,0.0,0.0,655.0000000000182,0.010000000000000555,382836.00000000204
2022-03-29,0.0,0.0,0.0,0.0,655.0000000000146,0.01000000000000043,382836.00000000204
2022-03-30,0.0,0.0,0.0,0.0,655.0000000000118,0.010000000000000337,382836.00000000204
2022-03-31,0.0,0.0,0.0,0.0,655.0000000000098,0.010000000000000267,382836.00000000204
2022-04-01,0.0,0.0,0.0,0.0,655.0000000000082,0.010000000000000215,382836.00000000204
2022-04-02,0.0,0.0,0.0,0.0,655.000000000007,0.010000000000000175,382836.00000000204
2022-04-03,0.0,0.0,0.0,0.0,655.0000000000061,0.010000000000000146,382836.00000000204
2022-04-04,0.0,0.0,0.0,0.0,655.0000000000055,0.010000000000000123,382836.00000000204
2022-04-05,0.0,0.0,0.0,0.0,655.000000000005,0.010000000000000106,382836.00000000204
2022-04-06,0.0,0.0,0.0,0.0,655.0000000000047,0.010000000000000094,382836.00000000204
2022-04-07,0.0,0.0,0.0,0.0,655.0000000000044,0.010000000000000085,382836.00000000204
