date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,total_boosters_per_hundred,reproduction_rate,icu_patients,new_tests,new_tests_smoothed,positive_rate,tests_per_case,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,aged_70_older,median_age,aged_65_older,extreme_poverty,male_smokers,population,excess_mortality_cumulative,excess_mortality
2021-06-16,277297.36185506615,207.68776345941154,261.44451291678064,4323.808298872673,5.031665943549174,5.775219405173745,98439.8435846598,0.010000000000000054,0.5264740905369533,59.051267633989106,14262.142224567726,15947.056741383205,0.012446751036731887,87.56442899525642,42.358125471278115,19938.016433548004,21320.136383843183,0.33018472681842403,39.4412878006367,13.780000000000069,43.50000000000021,19.0000000000001,0.7000000000000035,38.0000000000002,2750058.0000000144,17.05038690686173,21.57806522821435
2021-06-17,277487.90429369174,190.54243862558664,242.5109768013543,4328.61837670784,4.810077835166735,5.501123668295312,98507.48576170119,0.010000000000000054,0.5175142621496451,56.419236116571405,13669.57227928554,15405.934605164766,0.01191053192654699,92.08211133920264,42.60944849906304,19555.231297365295,20887.749201263152,0.31079740096385067,39.33750253438191,13.780000000000069,43.50000000000021,19.0000000000001,0.7000000000000035,38.0000000000002,2750058.0000000144,17.062204368898744,22.112944640987187
2021-06-18,277661.3447845872,173.44049089549912,224.42131598821697,4333.200062427461,4.581685719620047,5.249743850122589,98569.05675518035,0.010000000000000054,0.5091625227272959,53.739071560602504,13084.391620582464,14843.360165250451,0.011432898944910256,96.84164652961222,42.84291151974014,19255.992105861747,20462.102253242156,0.29109853553219667,39.2460288077031,13.780000000000069,43.50000000000021,19.0000000000001,0.7000000000000035,38.0000000000002,2750058.0000000144,17.075753078133125,22.76963633649811
2021-06-19,277818.50949341815,157.16470883096514,207.2272109730634,4337.554797951823,4.354735524362746,5.017793504915801,98624.84985193808,0.010000000000000054,0.5015865009659638,51.06139804666396,12507.187897725164,14265.996836930744,0.010999205559684644,101.91939746993073,43.06010897917169,19035.554502796465,20062.244821799773,0.27159086997493964,39.164967953547254,13.780000000000069,43.50000000000021,19.0000000000001,0.7000000000000035,38.0000000000002,2750058.0000000144,17.091058921629696,23.544774117273423
2021-06-20,277961.235400607,142.72590718883487,190.9367385465398,4341.696188961611,4.141391009787902,4.800177707872377,98675.51717854646,0.010000000000000054,0.49498625581497124,48.4305992783723,11941.217070675917,13682.625003263685,0.010592002747656192,107.40693174821422,43.26223040923338,18857.947906832345,19702.252216866986,0.2527382397468805,39.086387406660165,13.780000000000069,43.50000000000021,19.0000000000001,0.7000000000000035,38.0000000000002,2750058.0000000144,17.107998780750414,24.41728259183358
2021-06-21,278093.07955627335,131.84415566635155,175.400168648108,4345.675632348235,3.979443386623413,4.589936125118897,98722.32148038704,0.010000000000000054,0.4895958650997552,45.88885120409278,11401.212657564158,13103.681567573829,0.010191739617303243,113.3811441893121,43.45027106161159,18699.04252353088,19390.255710807993,0.23490985304868678,38.99904362545413,13.780000000000069,43.50000000000021,19.0000000000001,0.7000000000000035,38.0000000000002,2750058.0000000144,17.126294496034713,25.34800993999675
2021-06-22,278214.2760214394,121.19646516605339,160.6568779405091,4349.490273065319,3.8146407170845653,4.38561789862263,98765.34584881659,0.010000000000000054,0.4856886570665754,43.46718785361908,10911.529127950118,12539.739472383682,0.009777288875873372,119.8849353882674,43.62548367759207,18550.039584955877,19127.43182835489,0.2183540122816672,38.89038695309194,13.780000000000069,43.50000000000021,19.0000000000001,0.7000000000000035,38.0000000000002,2750058.0000000144,17.145496566919398,26.271049725752057
2021-06-23,278324.8593431646,110.58332172521888,146.784485540062,4353.126334404684,3.6360613393648182,4.186098524160902,98804.60255225576,0.010000000000000054,0.48357305388590505,41.20352599040828,10494.86426677708,12001.566029627142,0.009326340929691078,126.9396226788866,43.789640877134005,18421.24106557537,18910.74570384538,0.20322090675488347,38.74807221223336,13.780000000000069,43.50000000000021,19.0000000000001,0.7000000000000035,38.0000000000002,2750058.0000000144,17.16508534882056,27.112710579012578
2021-06-24,278424.94245501445,100.08311184982892,133.86133506648812,4356.567666123493,3.441331718809332,3.9904740224031636,98840.13168891723,0.010000000000000054,0.48356876908281987,39.12305496468731,10145.348781853992,11498.110802116946,0.008815699459388551,134.53740770082644,43.94429869275684,18296.38938030631,18730.903783378566,0.1895523962911143,38.56112817339615,13.780000000000069,43.50000000000021,19.0000000000001,0.7000000000000035,38.0000000000002,2750058.0000000144,17.18451790855884,27.802133474475564
2021-06-25,278514.9251024118,89.98264739739116,121.93835618027992,4359.80215553962,3.234489416127041,3.7979815672225454,98872.07517635194,0.010000000000000054,0.48600446950765536,37.23072044135651,9852.988089299362,11036.481598678865,0.008246228376054028,142.67779721065563,44.090671336956184,18137.911718487674,18571.16671924048,0.17729648855640961,38.32094325351193,13.780000000000069,43.50000000000021,19.0000000000001,0.7000000000000035,38.0000000000002,2750058.0000000144,17.203271938668205,28.279462235323884
