date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_tests,reproduction_rate,new_tests,new_tests_smoothed,positive_rate,tests_per_case,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,extreme_poverty,diabetes_prevalence,male_smokers,hospital_beds_per_thousand,life_expectancy,population
2021-06-06,203890.36927454022,79.66182553072352,95.93882482207266,9232.041427415264,19.29071574847312,18.385976099871275,983310.9627297665,0.6334106940462886,2221.9151806166747,2128.8745646526595,0.03527176358484942,29.711644833022028,6716.057029073102,0.16658082105840177,37.564710809828696,68.50000000000037,42.50000000000022,16.570000000000086,0.200000000000001,10.080000000000053,47.70000000000026,3.500000000000019,77.4000000000004,3233530.0000000177
2021-06-07,203966.0328544187,75.66357987848875,90.74195361978667,9251.38444806631,19.34302065104459,18.67572076268629,985343.6315388151,0.6327923450337477,2185.2329150358764,2105.3743624035246,0.033565813638863344,31.246270793480207,6476.054536510717,0.15764004371881768,37.41398074796628,68.50000000000037,42.50000000000022,16.570000000000086,0.200000000000001,10.080000000000053,47.70000000000026,3.500000000000019,77.4000000000004,3233530.0000000177
2021-06-08,204037.69217475096,71.65932033226677,85.69895422582911,9270.74095402001,19.356505953700406,18.918775219719983,987351.497571372,0.6322901217358805,2150.0561867617193,2081.7067737418834,0.031934218018417095,32.83636437500678,6284.449047179426,0.1494129675014599,37.30532799794955,68.50000000000037,42.50000000000022,16.570000000000086,0.200000000000001,10.080000000000053,47.70000000000026,3.500000000000019,77.4000000000004,3233530.0000000177
2021-06-09,204105.24196558192,67.54979083097133,80.82807701390975,9290.060741371517,19.319787351506747,19.09991722603759,989335.4481731436,0.6319213728145163,2117.0455620169937,2057.6615605908364,0.030398304108512277,34.472307217906724,6151.151248862276,0.1421117618251901,37.232000200142885,68.50000000000037,42.50000000000022,16.570000000000086,0.200000000000001,10.080000000000053,47.70000000000026,3.500000000000019,77.4000000000004,3233530.0000000177
2021-06-10,204168.60351684995,63.36155126802494,76.15491021679955,9309.291370508288,19.23062913677165,19.210500783135203,991296.1627997578,0.6317044426684189,2086.853850730589,2033.3685039919342,0.02896711851448056,36.14636519041782,6077.759364248524,0.13575011096165293,37.18400015010721,68.50000000000037,42.50000000000022,16.570000000000086,0.200000000000001,10.080000000000053,47.70000000000026,3.500000000000019,77.4000000000004,3233530.0000000177
2021-06-11,204227.81904035268,59.21552350273176,71.70373550681435,9328.385027558023,19.09365704973455,19.248888677202753,993233.4834281972,0.6316336972243273,2059.2505569231867,2009.0400334561382,0.02764987023686239,37.83914848880567,6059.173886470177,0.13020527876099422,37.150332045353565,68.50000000000037,42.50000000000022,16.570000000000086,0.200000000000001,10.080000000000053,47.70000000000026,3.500000000000019,77.4000000000004,3233530.0000000177
2021-06-12,204283.1224412215,55.30340086880712,67.49104468117741,9347.303670474606,18.91864291658342,19.22077688282129,995146.7715832158,0.6316855185549626,2034.171923025295,1984.7638163008976,0.02644053777784075,39.53979284688873,6084.26582209246,0.12527370696990547,37.12780155502363,68.50000000000037,42.50000000000022,16.570000000000086,0.200000000000001,10.080000000000053,47.70000000000026,3.500000000000019,77.4000000000004,3233530.0000000177
2021-06-13,204334.99239652726,51.86995530577476,63.5206771760415,9366.022888602574,18.719218127967647,19.139437865735903,997034.4703864006,0.6318228008425317,2011.1893858694912,1960.4425939645253,0.02534316997850018,41.24838859121057,6145.510097015379,0.12076167971029933,37.11236861940287,68.50000000000037,42.50000000000022,16.570000000000086,0.200000000000001,10.080000000000053,47.70000000000026,3.500000000000019,77.4000000000004,3233530.0000000177
2021-06-14,204384.39132389866,49.39892737138025,59.76846311797173,9384.624293148776,18.601404546202005,19.033844236406026,998895.0478609072,0.6319983223513567,1989.8109994861547,1935.8717159969906,0.024355147361056803,42.968579743343355,6237.176884332325,0.11653231343495477,37.09965784787477,68.50000000000037,42.50000000000022,16.570000000000086,0.200000000000001,10.080000000000053,47.70000000000026,3.500000000000019,77.4000000000004,3233530.0000000177
2021-06-15,204431.38636622744,46.995042328793815,56.24485396420607,9403.081568277885,18.45727512910854,18.905780720937383,1000727.3561445505,0.6321572744073451,1969.3962788647802,1910.8067928154571,0.02346723317754764,44.71212808481851,6354.429899836196,0.11250993320162023,37.08534131738641,68.50000000000037,42.50000000000022,16.570000000000086,0.200000000000001,10.080000000000053,47.70000000000026,3.500000000000019,77.4000000000004,3233530.0000000177
