date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,gdp_per_capita,diabetes_prevalence,population
2022-04-14,12670.246773175986,25.389170846123342,27.050575101312536,128.7886040238934,0.18869415536263906,0.16412565953745045,195613.01662645393,201.37403704391755,0.013153902045557527,16.85278042830807,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-04-15,12695.72357374109,25.47680056510321,26.525668559339316,128.98190227454597,0.19329825065255488,0.17117116773001118,196006.34671580064,183.7244999872047,0.012487598479869518,16.662085321231075,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-04-16,12721.65161695742,25.928043216329062,26.176012246912407,129.17695676408678,0.19505448954080623,0.17791570611425073,196406.64351551913,164.4343413769583,0.01191207895039989,16.518528276637614,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-04-17,12748.388938962427,26.73732200500702,26.040459411428685,129.37050037849514,0.19354361440835222,0.18364379316034898,196819.43468641338,144.27982843090888,0.01143082715074434,16.410324778906805,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-04-18,12776.08593499107,27.696996028642186,26.15076084816431,129.5614725689394,0.19097219044427347,0.18782689787607973,197247.0421657476,124.097153158993,0.011044031804557946,16.328636441322985,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-04-19,12804.93298711921,28.847052128139733,26.53015660897395,129.7483183892128,0.18684582027341218,0.19012356707221845,197692.40523161544,104.69371166950336,0.010747794377012527,16.266834473849404,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-04-20,12835.159097159076,30.226110039866967,27.18439121238661,129.92833640018387,0.18001801097105805,0.1902146856467627,198159.0593946233,86.77931736557294,0.010533534858389662,16.219947283958504,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-04-21,12866.970357129183,31.81125997010713,28.101630513362398,130.09845010233587,0.17011370215201704,0.1878689974283496,198650.18645740926,70.90506009916358,0.010387546101775454,16.184246177254614,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-04-22,12900.503802106763,33.5334449775804,29.25239935561008,130.25578651017162,0.1573364078357324,0.18299224580881898,199167.90205928218,57.41520425342894,0.010290659576331605,16.15693463294098,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-04-23,12935.792799867098,35.28899776033468,30.589534810825256,130.39811008301675,0.14232357284512523,0.17566402921763577,199712.72133470108,46.40156156111244,0.010217994682248717,16.135877445293993,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
