date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,reproduction_rate,total_vaccinations_per_hundred,new_tests_smoothed,positive_rate,tests_per_case,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,population_density,gdp_per_capita,hospital_beds_per_thousand,life_expectancy,population
2021-07-04,411.81563294043804,12.17306961038036,14.8311698267326,2.553798840071917,0.1247034468865992,0.1625184365601552,8812.472064296568,0.7216044770092582,85.2748383298719,162.00000000000085,0.010000000000000054,70.90000000000038,453.3963214518286,0.08455180271703855,212.86000000000112,24654.380000000132,2.3000000000000114,76.2300000000004,47681.000000000255
2021-07-05,423.277529488781,11.461896583997305,14.011630763714624,2.6560731119543943,0.10868595620567348,0.15189900841559167,9057.745962896,0.7115207462508037,85.83749639446287,162.00000000000085,0.010000000000000054,70.90000000000038,410.3553697249417,0.07596281777792119,212.86000000000112,24654.380000000132,2.3000000000000114,76.2300000000004,47681.000000000255
2021-07-06,434.0149506072134,10.737421145173169,13.176770745701303,2.7427012463769183,0.09143689766492097,0.13907357757866223,9287.516775339434,0.7025634750080779,86.31365776772834,162.00000000000085,0.010000000000000054,70.90000000000038,365.36963007327995,0.06825459555709965,212.86000000000112,24654.380000000132,2.3000000000000114,76.2300000000004,47681.000000000255
2021-07-07,444.0138794066066,9.998928819448729,12.344103269360023,2.812843646482758,0.0737489725376371,0.12443414246001488,9501.484548052747,0.6945045390291686,86.72239345507887,161.9785714285723,0.010000000000000054,70.89647058823567,321.0385024515342,0.061703874916047154,212.86000000000112,24654.380000000132,2.3000000000000114,76.2300000000004,47681.000000000255
2021-07-08,453.27592345282244,9.262044061257532,11.530452856027788,2.8666786301432623,0.05653991298435258,0.10854619508030536,9699.683675099044,0.6871581392427889,87.0703688631257,161.92237394958073,0.010000000000000054,70.85289915966425,278.7476227985733,0.05641898569576199,212.86000000000112,24654.380000000132,2.3000000000000114,76.2300000000004,47681.000000000255
2021-07-09,461.8305689632439,8.554645521702692,10.750372285847615,2.9054711574814007,0.04240493473826444,0.09208272323330599,9882.745127365022,0.6803395158735922,87.36486135045641,161.83903320943853,0.010000000000000054,70.7949781835815,239.55782440339036,0.0524325327430562,212.86000000000112,24654.380000000132,2.3000000000000114,76.2300000000004,47681.000000000255
2021-07-10,469.74437145417244,7.913802499389503,10.014955523370853,2.9316243765144163,0.03180370105369833,0.07577471210823744,10052.093124450737,0.6739598728457251,87.6135746858501,161.77830528846243,0.010000000000000054,70.75198347608313,204.3366940943981,0.04972986174216615,212.86000000000112,24654.380000000132,2.3000000000000114,76.2300000000004,47681.000000000255
2021-07-11,477.12784872637667,7.383477278549892,9.33094741175892,2.9487182823858165,0.023852775790273745,0.06037402050651746,10210.092638586937,0.6681284372781215,87.82526161970674,161.79119502969547,0.010000000000000054,70.74723098133524,173.6963311719622,0.048258934768163134,212.86000000000112,24654.380000000132,2.3000000000000114,76.2300000000004,47681.000000000255
2021-07-12,484.1835077471103,7.055659025492906,8.701701993854751,2.961538711789367,0.01788958184270531,0.04662553800432249,10361.07711501003,0.6631060241447588,88.00919585540566,161.92759148881998,0.010000000000000054,70.82042646806357,147.88656641387803,0.04795357405608364,212.86000000000112,24654.380000000132,2.3000000000000114,76.2300000000004,47681.000000000255
2021-07-13,490.9349966797581,6.751488936217296,8.132491912327078,2.97115403384203,0.013417186382028982,0.03496915350324187,10505.552600155404,0.6592307786127717,88.1746774345408,162.2307614899184,0.010000000000000054,71.028181841998,126.71552274188889,0.04869530336042091,212.86000000000112,24654.380000000132,2.3000000000000114,76.2300000000004,47681.000000000255
2021-07-14,497.3758919829932,6.440895305912171,7.624394305932453,2.978365525381527,0.010062889786521737,0.0262268651274314,10643.381642747467,0.6569657471787135,88.33050856071503,162.73553071666333,0.009987394957983248,71.40268938731631,109.48442809390866,0.05032690738456915,212.86000000000112,24654.380000000132,2.3000000000000114,76.2300000000004,47681.000000000255
2021-07-15,503.4867509200187,6.11085893903336,7.174394307342043,2.9837741440361496,0.007547167339891303,0.01967014884557355,10774.148198608773,0.6568443814894012,88.48469781247779,163.48440498643114,0.009963235294117703,71.96063856602063,96.28266496183429,0.052780086808627336,212.86000000000112,24654.380000000132,2.3000000000000114,76.2300000000004,47681.000000000255
2021-07-16,509.24790094049956,5.761150021986726,6.775462666511712,2.9878306080271164,0.005660375504918477,0.014752611634180162,10897.431309266873,0.6593538743523459,88.63960181766487,164.5071466616077,0.009937196994182345,72.67268157480646,86.77366646539649,0.05590019115689076,212.86000000000112,24654.380000000132,2.3000000000000114,76.2300000000004,47681.000000000255
2021-07-17,514.6490317170108,5.401130777640665,6.4166139682095835,2.9908729560203415,0.004245281628688858,0.01106445872563512,11013.010360909446,0.6648197044067943,88.79649686798913,165.8088183026055,0.00992380918713645,73.49954350172551,80.51888915092204,0.05953971996753888,212.86000000000112,24654.380000000132,2.3000000000000114,76.2300000000004,47681.000000000255
2021-07-18,519.6963891723742,5.047357456210465,6.08295029516172,2.99315471701526,0.0031839612215166435,0.00829834404422634,11121.019028600653,0.6734371764951419,88.955829597232,167.35934481939134,0.009927019786279953,74.37913080017918,76.9534687377876,0.06348623793945517,212.86000000000112,24654.380000000132,2.3000000000000114,76.2300000000004,47681.000000000255
2021-07-19,524.4093474707488,4.712958299009825,5.748307420789526,2.994866037761449,0.0023879709161374824,0.006223758033169755,11221.871923519026,0.6852714828884874,89.1175923579112,169.09025845294065,0.009964334005837967,75.22424790621078,75.44614550938476,0.06752078705187656,212.86000000000112,24654.380000000132,2.3000000000000114,76.2300000000004,47681.000000000255
2021-07-20,528.7810248241353,4.371677353863062,5.408321871345221,2.996149528321091,0.0017909781871031118,0.004667818524877317,11315.421789924354,0.7002637285206006,89.28135570723981,170.89435835166435,0.010060192973673901,75.91830389992322,75.33549794910397,0.07142759739944406,212.86000000000112,24654.380000000132,2.3000000000000114,76.2300000000004,47681.000000000255
2021-07-21,532.8207233692335,4.039698545455478,5.065242211524435,2.9971121462408226,0.0013432336403273338,0.0035008638936579878,11401.867685849877,0.7181942411221903,89.4463371316474,172.64898466549383,0.010241007690824283,76.35704240458053,75.96949676499551,0.07499199733852951,212.86000000000112,24654.380000000132,2.3000000000000114,76.2300000000004,47681.000000000255
2021-07-22,536.5542464700416,3.733523101076098,4.725537508675652,2.997834109680621,0.0010074252302455003,0.002625647920243491,11481.761774083609,0.7386725069567053,89.61150325274343,174.22697767171275,0.010531434501149902,76.4699101162991,76.73167978124513,0.07802567221204205,212.86000000000112,24654.380000000132,2.3000000000000114,76.2300000000004,47681.000000000255
2021-07-23,540.0241366948073,3.4698902249667407,4.398103680957293,2.9983755822604703,0.0007555689226841253,0.001969235940182618,11556.014415404352,0.7612432296034384,89.77569164985721,175.49445755889144,0.010951581693574143,76.21285921941578,77.38179151014211,0.0804382910045391,212.86000000000112,24654.380000000132,2.3000000000000114,76.2300000000004,47681.000000000255
2021-07-24,543.2898542987405,3.265717604083818,4.092918258455531,2.9987816866953567,0.000566676692013094,0.0014769269551369636,11625.897988508677,0.7854225644133104,89.9378717324372,176.2974592001966,0.01151491445376175,75.52594047144623,77.76169915943281,0.08216259026374706,212.86000000000112,24654.380000000132,2.3000000000000114,76.2300000000004,47681.000000000255
2021-07-25,546.4279110860471,3.138056787419687,3.820031454022648,2.999086265021522,0.0004250075190098205,0.0011076952163527228,11693.049754956186,0.8107543829092083,90.0970463817456,176.4177453374457,0.012239288619894699,74.3816838603721,77.77132285050556,0.0831497384314885,212.86000000000112,24654.380000000132,2.3000000000000114,76.2300000000004,47681.000000000255
2021-07-26,549.5281892938509,3.100278207888622,3.589527953800765,2.9993146987661463,0.00031875563925736535,0.0008307714122645421,11759.39309611373,0.8369054769039501,90.25216498992924,175.71214546074452,0.013106906671773017,72.80000562313955,77.338301446218,0.08337797932458611,212.86000000000112,24654.380000000132,2.3000000000000114,76.2300000000004,47681.000000000255
2021-07-27,552.617829106782,3.089639812994687,3.4062729853893625,2.9994860240746144,0.00023906672944302401,0.0006230785591984065,11825.508778775682,0.8636718355383388,90.40224112016737,174.10185311624383,0.014082119241063142,70.8128258075293,76.42200339558798,0.08284537848180427,212.86000000000112,24654.380000000132,2.3000000000000114,76.2300000000004,47681.000000000255
2021-07-28,555.7181552819295,3.1003261751952764,3.271988352487404,2.9996145180559655,0.000179300047082268,0.0004673089193988049,11891.853121412096,0.8909574965632576,90.54648934044886,171.5703135605186,0.01516097533900682,68.43987468854945,75.02049414332974,0.08156115086199972,212.86000000000112,24654.380000000132,2.3000000000000114,76.2300000000004,47681.000000000255
2021-07-29,558.8445149746995,3.126359692805641,3.1851834104547616,2.999710888541978,0.000134475035311701,0.00035048168954910367,11958.754526417848,0.9186675406512748,90.68430486894376,168.12222450458438,0.016324351413757404,65.72704564149296,73.1615567742718,0.07955903379937643,212.86000000000112,24654.380000000132,2.3000000000000114,76.2300000000004,47681.000000000255
