date,total_cases,new_cases,total_deaths,new_deaths,new_tests_smoothed,total_boosters_per_hundred,total_boosters,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,aged_65_older,median_age,diabetes_prevalence,life_expectancy,population
2020-04-17,0.0,0.0,0.0,0.0,2207.50252289253,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,66.41306775580613,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
2020-04-18,0.0,0.0,0.0,0.0,2208.425728627061,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,66.48489325382947,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
2020-04-19,0.0,0.0,0.0,0.0,2208.9934561341643,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,66.53467414205286,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
2020-04-20,0.0,0.0,0.0,0.0,2209.28079022603,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,66.56850560653974,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
2020-04-21,0.0,0.0,0.0,0.0,2209.394367718007,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,66.5938792049049,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
2020-04-22,0.0,0.0,0.0,0.0,2209.470468742613,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,66.61290940367876,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
2020-04-23,0.0,0.0,0.0,0.0,2209.6680099280034,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,66.62718205275915,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
2020-04-24,0.0,0.0,0.0,0.0,2210.18617228117,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,66.63788653956945,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
2020-04-25,0.0,0.0,0.0,0.0,2211.29425105962,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,66.64941910635785,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
2020-04-26,0.0,0.0,0.0,0.0,2213.279867350956,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,66.66215676674327,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
2020-04-27,0.0,0.0,0.0,0.0,2216.410126757564,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,66.6739113694984,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
2020-04-28,0.0,0.0,0.0,0.0,2220.902488410128,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,66.68102014638698,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
2020-04-29,0.0,0.0,0.0,0.0,2226.9029167277677,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,66.67916362304179,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
2020-04-30,0.0,0.0,0.0,0.0,2234.4694952381365,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,66.66397905212307,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
2020-05-01,0.0,0.0,0.0,0.0,2243.5601369425035,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,66.63152048818742,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
2020-05-02,0.0,0.0,0.0,0.0,2254.061182215607,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,66.57860384383943,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
2020-05-03,0.0,0.0,0.0,0.0,2265.8149558278365,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,66.50306568184541,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
2020-05-04,0.0,0.0,0.0,0.0,2278.6112168708805,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,66.40395730921867,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
2020-05-05,0.0,0.0,0.0,0.0,2292.1893434870353,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,66.28169034778352,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
2020-05-06,0.0,0.0,0.0,0.0,2306.250928106553,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,66.13814591209824,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
2020-05-07,0.0,0.0,0.0,0.0,2320.4801805660204,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,65.9767564928973,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
2020-05-08,0.0,0.0,0.0,0.0,2334.567827732211,0.010000000000000054,1.000000000000005,532.0000000000027,532.0000000000027,0.010000000000000054,65.80256736967306,16.300000000000082,44.800000000000225,8.330000000000044,84.86000000000044,7488863.00000004
