date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,people_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,population
2022-05-14,12158876.489479344,8962.32921889165,8589.41019791145,254105.45989036057,41.03483077234171,36.75070535366024,21.195470248171002,1.5948797334303912,925314.4708330759,885311.3267792303,0.026833306533465013,1426736614.0000074
2022-05-15,12167876.667222645,9000.17774804076,8715.056820379301,254147.21618473908,41.756294378545284,38.12544417361627,21.23007973848769,1.6006431549532096,957421.1840556422,895425.0673856521,0.025953519008049666,1426736614.0000074
2022-05-16,12176903.023057595,9026.35583850311,8819.55607310608,254189.29125943378,42.075074694704114,39.33699554133056,21.262534593781762,1.6061940662795509,991959.7342278999,912342.4125140304,0.0250939369289526,1426736614.0000074
2022-05-17,12185936.729187202,9033.70613227101,8900.485104280122,254231.54295976638,42.25170033259893,40.341897593295975,21.292559477980177,1.6115308115066918,1026422.4806644624,935166.1723784136,0.02428360718928074,1426736614.0000074
2022-05-18,12194939.970435988,9003.241250786981,8954.060644628978,254273.79307955364,42.25011978726438,41.108148631300416,21.320128399693953,1.616658612831702,1059807.25537553,962576.8281364297,0.023564515346711716,1426736614.0000074
2022-05-19,12203866.435600117,8926.465165627416,8976.493169638521,254315.85576635593,42.06268680231001,41.61899043275139,21.34545586667418,1.6216036881305662,1090610.6643500074,992847.373461729,0.022983502864267816,1426736614.0000074
2022-05-20,12212669.185959961,8802.75036096912,8965.002521217268,254357.5588254137,41.70305905777652,41.87574573341945,21.368954537368303,1.626388124856815,1117301.7780621194,1024119.3006360527,0.02259881008291324,1426736614.0000074
2022-05-21,12221306.556664556,8637.370705439198,8918.579623944637,254398.75969759974,41.20087218602798,41.8999463394958,21.39117986553434,1.6310357607402217,1138474.051872383,1054570.6411363818,0.02244926916528774,1426736614.0000074
2022-05-22,12229746.582769927,8440.026106002486,8838.557772257132,254439.35744288343,40.597745283671,41.73492921163548,21.41281217775453,1.6355392639940827,1153468.53374915,1082577.3887546798,0.02255592407823216,1426736614.0000074
2022-05-23,12237994.880952703,8248.298183251067,8727.40658743462,254479.28534137429,39.927898490872245,41.428680586813286,21.434692035707656,1.6399194770841228,1161864.521239466,1106849.4991128764,0.02289852030495728,1426736614.0000074
2022-05-24,12246028.699806336,8033.818853986468,8584.565567757618,254518.47512432453,39.18978295024861,40.99174654224318,21.45713360338064,1.6441968799527196,1162673.2637156388,1126313.906057348,0.023433586414884765,1426736614.0000074
2022-05-25,12253820.58009071,7791.8802846398285,8411.514135740656,254556.90871880937,38.43359448482613,40.44698734688929,21.480340991158652,1.6483949127117947,1155629.878636763,1140002.8679722305,0.02412011547373633,1426736614.0000074
